nohup: ignoring input
Traceback (most recent call last):
  File "/home/ubuntu/gtc-trading/src/strategy/paper_runner.py", line 26, in <module>
    import bates_pricer as bp
ModuleNotFoundError: No module named 'bates_pricer'
nohup: ignoring input
Loaded params from /home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
[2026-03-17 17:24:01 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:24:08 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:24:14 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:24:21 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:24:27 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:24:34 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:24:40 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:24:46 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:24:53 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:25:00 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:25:09 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:25:15 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:25:21 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:25:27 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:25:33 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:25:39 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:25:46 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:25:52 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:25:59 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:26:06 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:26:12 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:26:18 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:26:24 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:26:29 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:26:35 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:26:41 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:26:47 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:26:53 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:26:59 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:27:05 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:27:11 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:27:17 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:27:23 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:27:29 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:27:35 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:27:40 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:27:47 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:27:53 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:27:59 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:28:05 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:28:12 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:28:19 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:28:25 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:28:31 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:28:37 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:28:43 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:28:49 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:28:55 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:29:01 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:29:07 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:29:15 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:29:22 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:29:28 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:29:34 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:29:40 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:29:47 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:29:53 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:29:59 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:30:06 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:30:13 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:30:19 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:30:25 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:30:31 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:30:38 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:30:44 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:30:50 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:30:57 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:31:03 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:31:09 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:31:15 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:31:21 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:31:27 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:31:34 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:31:41 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:31:47 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:31:53 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:31:59 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:32:06 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:32:12 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:32:18 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:32:24 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:32:29 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:32:36 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:32:42 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:32:48 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:32:54 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:33:00 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:33:07 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:33:13 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:33:19 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:33:25 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:33:32 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:33:38 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:33:45 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:33:53 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:34:00 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:34:07 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:34:13 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:34:19 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:34:26 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:34:32 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:34:39 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:34:45 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:34:51 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:34:57 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:35:03 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:35:09 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:35:15 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:35:22 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:35:29 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:35:35 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:35:41 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:35:48 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:35:54 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
