instrument,event_ticker,settlement_index,status,side,outcome_field,quantity,entry_price,entry_model_price,edge_at_entry,spot_at_entry,bid_at_entry,ask_at_entry,bid_size_at_entry,ask_size_at_entry,entry_time,expiry_time,settlement_time,settlement_outcome,entry_notional_usd,max_loss_usd,gross_pnl_per_contract,gross_total_pnl,fees_per_contract,fees_total,net_total_pnl,order_id,params_path
GEMI-BTC2603160100-HI72750,BTC2603160100,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,138,0.64,0.6032128093973916,0.03678719060260838,72904.68,0.64,0.71,50.0,50.0,2026-03-16T00:02:39Z,2026-03-16T01:00:00Z,2026-03-16T01:24:27Z,0,88.32,49.68,0.64,88.32,0.02,2.76,85.56,paper-GEMI-BTC2603160100-HI72750-1773619359,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160100-HI73250,BTC2603160100,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,185,0.27,0.31703014294922044,0.04703014294922042,72998.0,0.22,0.27,60.0,60.0,2026-03-16T00:03:19Z,2026-03-16T01:00:00Z,2026-03-16T01:24:16Z,0,49.95,49.95,-0.27,-49.95,0.02,3.7,-53.65,paper-GEMI-BTC2603160100-HI73250-1773619399,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160100-HI73000,BTC2603160100,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,113,0.44,0.47235724727824696,0.03235724727824696,72970.72,0.37,0.44,51.0,51.0,2026-03-16T00:09:10Z,2026-03-16T01:00:00Z,2026-03-16T01:23:58Z,0,49.72,49.72,-0.44,-49.72,0.02,2.26,-51.98,paper-GEMI-BTC2603160100-HI73000-1773619750,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160100-HI72500,BTC2603160100,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,263,0.81,0.7576559060458016,0.05234409395419848,72850.34,0.81,0.9,48.0,48.0,2026-03-16T00:10:59Z,2026-03-16T01:00:00Z,2026-03-16T01:24:10Z,1,213.03,49.97,-0.19,-49.97,0.02,5.26,-55.23,paper-GEMI-BTC2603160100-HI72500-1773619859,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160400-HI72750,BTC2603160400,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,227,0.22,0.273589335726385,0.053589335726384996,72481.08,0.07,0.22,11.0,11.0,2026-03-16T03:02:24Z,2026-03-16T04:00:00Z,2026-03-16T04:03:55Z,1,49.94,49.94,0.78,177.06,0.02,4.54,172.52,paper-GEMI-BTC2603160400-HI72750-1773630144,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160400-HI72250,BTC2603160400,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,263,0.81,0.7090126748607684,0.1009873251392317,72481.08,0.81,0.96,10.0,10.0,2026-03-16T03:02:30Z,2026-03-16T04:00:00Z,2026-03-16T04:03:30Z,1,213.03,49.97,-0.19,-49.97,0.02,5.26,-55.23,paper-GEMI-BTC2603160400-HI72250-1773630150,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160400-HI73000,BTC2603160400,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,454,0.11,0.2067886120023363,0.09678861200233631,72520.84,0.01,0.11,60.0,60.0,2026-03-16T03:03:51Z,2026-03-16T04:00:00Z,2026-03-16T04:01:33Z,1,49.94,49.94,0.89,404.06,0.02,9.08,394.98,paper-GEMI-BTC2603160400-HI73000-1773630231,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160400-HI72500,BTC2603160400,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,116,0.57,0.5345537050758349,0.03544629492416507,72550.72,0.57,0.62,58.0,58.0,2026-03-16T03:04:38Z,2026-03-16T04:00:00Z,2026-03-16T04:02:10Z,1,66.12,49.88,-0.43,-49.88,0.02,2.32,-52.2,paper-GEMI-BTC2603160400-HI72500-1773630278,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160400-HI73250,BTC2603160400,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,714,0.07,0.1813478064660487,0.1113478064660487,72798.77,0.01,0.07,30.0,215.0,2026-03-16T03:23:47Z,2026-03-16T04:00:00Z,2026-03-16T04:02:23Z,1,49.98,49.98,0.93,664.02,0.02,14.28,649.74,paper-GEMI-BTC2603160400-HI73250-1773631427,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160400-HI73500,BTC2603160400,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,555,0.09,0.19379903221271988,0.10379903221271988,73091.49,0.02,0.09,10000.0,219.0,2026-03-16T03:30:51Z,2026-03-16T04:00:00Z,2026-03-16T04:03:42Z,1,49.95,49.95,0.91,505.05,0.02,11.1,493.95,paper-GEMI-BTC2603160400-HI73500-1773631851,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160400-HI73750,BTC2603160400,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,555,0.09,0.18925007800148544,0.09925007800148544,73274.22,0.02,0.09,20.0,219.0,2026-03-16T03:32:18Z,2026-03-16T04:00:00Z,2026-03-16T04:07:31Z,0,49.95,49.95,-0.09,-49.95,0.02,11.1,-61.05,paper-GEMI-BTC2603160400-HI73750-1773631938,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
